City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
77,Regeneracao,BR,75.42,heavy intensity rain,-6.2378,-42.6883,Hotel KANAYRA
80,Sampit,ID,72.9,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
83,Honiara,SB,79.75,broken clouds,-9.4333,159.95,Heritage Park Hotel
85,Rawson,AR,75.02,clear sky,-43.3002,-65.1023,Hosteria Sampedro
86,Eyl,SO,76.68,scattered clouds,7.9803,49.8164,Amiin Hotel
88,Lethem,GY,91.99,broken clouds,3.3803,-59.7968,Savannah Inn
89,Port Alfred,ZA,71.49,clear sky,-33.5906,26.891,The Halyards Hotel
93,Cayenne,GF,75.24,light rain,4.9333,-52.3333,Hôtel Le Dronmi
96,Lorengau,PG,81.37,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
97,Banda Aceh,ID,79.32,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
103,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
106,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
107,Namibe,AO,75.52,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
108,Cabo San Lucas,MX,81.05,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
109,Mandal,IN,76.53,scattered clouds,25.45,74.5667,Surpanch saab ki vatika
110,Ukiah,US,86.52,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
111,Akyab,MM,77.74,overcast clouds,20.15,92.9,Hotel Memory
112,East London,ZA,71.94,clear sky,-33.0153,27.9116,Tu Casa
114,Sibolga,ID,76.68,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
117,Gorontalo,ID,74.21,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
119,Cape Town,ZA,74.12,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
120,Banjar,ID,78.3,overcast clouds,-8.19,114.9675,The Hamsa Resort
121,Mahebourg,MU,79.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
124,Cozumel,MX,84.27,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
126,Bengkulu,ID,75.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
127,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
